股票代码,公司名称,报表,项目,报告期,金额
688596,正帆科技,cashflow_yearly,投资活动现金流量净额,2014-12-31 00:00:00,-27911135.29
688596,正帆科技,cashflow_yearly,借款流入,2014-12-31 00:00:00,54637832.08
688596,正帆科技,cashflow_yearly,筹资活动现金流入总额,2014-12-31 00:00:00,56137832.08
688596,正帆科技,cashflow_yearly,还款流出,2014-12-31 00:00:00,5000000.0
688596,正帆科技,cashflow_yearly,分红支出,2014-12-31 00:00:00,1383387.84
688596,正帆科技,cashflow_yearly,筹资活动现金流出总额,2014-12-31 00:00:00,79930526.94
688596,正帆科技,cashflow_yearly,筹资活动现金流量净额,2014-12-31 00:00:00,-23792694.86
688596,正帆科技,cashflow_yearly,现金增加,2014-12-31 00:00:00,-4661125.48
688596,正帆科技,cashflow_yearly,期末现金,2014-12-31 00:00:00,43806294.31
688596,正帆科技,cashflow_yearly,存货余额减少,2014-12-31 00:00:00,10502748.87
688596,正帆科技,cashflow_yearly,应收余额减少,2014-12-31 00:00:00,-48500369.17
688596,正帆科技,cashflow_yearly,应付余额增加,2014-12-31 00:00:00,51808943.29
688596,正帆科技,cashflow_yearly,销售收款,2015-12-31 00:00:00,365898933.07
688596,正帆科技,cashflow_yearly,其他经营性流入,2015-12-31 00:00:00,7417413.86
688596,正帆科技,cashflow_yearly,经营活动现金流入总额,2015-12-31 00:00:00,373316346.93
688596,正帆科技,cashflow_yearly,采购支出,2015-12-31 00:00:00,263578170.06
688596,正帆科技,cashflow_yearly,人工支出,2015-12-31 00:00:00,68303841.53
688596,正帆科技,cashflow_yearly,税费支出,2015-12-31 00:00:00,13944678.65
688596,正帆科技,cashflow_yearly,其他经营性流出,2015-12-31 00:00:00,31213374.19
688596,正帆科技,cashflow_yearly,经营活动现金流出总额,2015-12-31 00:00:00,377040064.43
688596,正帆科技,cashflow_yearly,经营活动现金流量净额,2015-12-31 00:00:00,-3723717.5
688596,正帆科技,cashflow_yearly,固定资产支出,2015-12-31 00:00:00,64874893.5
688596,正帆科技,cashflow_yearly,投资活动现金流出总额,2015-12-31 00:00:00,64874893.5
688596,正帆科技,cashflow_yearly,吸收投资流入,2015-12-31 00:00:00,73692000.0
688596,正帆科技,cashflow_yearly,投资活动现金流量净额,2015-12-31 00:00:00,-60246158.09
688596,正帆科技,cashflow_yearly,借款流入,2015-12-31 00:00:00,73989128.62
688596,正帆科技,cashflow_yearly,筹资活动现金流入总额,2015-12-31 00:00:00,170351128.62
688596,正帆科技,cashflow_yearly,还款流出,2015-12-31 00:00:00,71991709.94
688596,正帆科技,cashflow_yearly,分红支出,2015-12-31 00:00:00,2898674.73
688596,正帆科技,cashflow_yearly,筹资活动现金流出总额,2015-12-31 00:00:00,82439480.7
688596,正帆科技,cashflow_yearly,筹资活动现金流量净额,2015-12-31 00:00:00,87911647.92
688596,正帆科技,cashflow_yearly,现金增加,2015-12-31 00:00:00,24250810.78
688596,正帆科技,cashflow_yearly,期末现金,2015-12-31 00:00:00,68057105.08
688596,正帆科技,cashflow_yearly,存货余额减少,2015-12-31 00:00:00,72623666.71
688596,正帆科技,cashflow_yearly,应收余额减少,2015-12-31 00:00:00,-52728913.32
688596,正帆科技,cashflow_yearly,应付余额增加,2015-12-31 00:00:00,-58400060.34
688596,正帆科技,cashflow_yearly,销售收款,2016-12-31 00:00:00,546973949.82
688596,正帆科技,cashflow_yearly,其他经营性流入,2016-12-31 00:00:00,5368602.17
688596,正帆科技,cashflow_yearly,经营活动现金流入总额,2016-12-31 00:00:00,552342551.99
688596,正帆科技,cashflow_yearly,采购支出,2016-12-31 00:00:00,381112690.77
688596,正帆科技,cashflow_yearly,人工支出,2016-12-31 00:00:00,77740368.67
